N°,Catégorie,Thème,Question (CTRL + flèche du bas pour aller à la dernière ligne remplie) --- Noms d'oeuvres en italique,Réponse
755,Culture G,Science,"Si je regarde un nuage et que je suis touché par une paréidolie, il se passe quoi ?","Je vais avoir l'impression de voir une forme familière dans le nuage (un visage, un animal, quelque chose de grivois...)"
756,Culture G,Cinéma,"Complète cette réplique de film : ""Le dernier arrivé est fan de...""","Phil Collins (Steak, Quentin Dupieux, 2007)"
757,Random,Langue,Québéquise un titre : tu peux me proposer un titre québécois pour l'animé No Game No Life ?,"Pas de jeu, pas de vie"
758,Culture G,Politique,Que se passe-t-il lorsque le gouvernement invoque l'article 49.3 de la Constitution devant le Sénat ?,"Rien, cet article ne s'applique pas au Sénat."
759,Otaku,Animé,"Dans Fullmetal Alchemist, peux tu me citer au moins deux des trois homonculus qui ne sont pas les mêmes personnes entre l'animé de 2003 et le manga/Brotherhood ?","Pride, Wrath, Sloth"
760,Otaku,Manga,Tu peux me donner les noms des 7 homonculus de Fullmetal Alchemist ?,"Lust, Gluttony, Envy, Wrath, Greed, Pride et Sloth"
761,Otaku,Manga,"Dans Yuru Camp - Au grand air, quel animal sert de mascotte au magasin Caribou, qui vend du matériel de camping ?",Un caribou
762,Otaku,Animé,"Peux-tu me citer un film de Hayao Miyzazaki avec le mot ""château"" dans le titre ?","Le Château de Cagliostro, Le Château dans le ciel, le Château ambulant"
763,Otaku,Animé,"Question difficile : à quel famille de manchots appartient Penpen, le manchot de compagnie de Misato dans Neon Genesis Evangelion ?",C'est un manchot à aigrettes (ou gorfou)
764,Otaku,Animé,"Dans la légendaire VF de Ken le survivant, quelle erreur a commis l'architecte du palais de Shin ?",Il n'a pas fini de construire la rambaaaaaaaaaaarde !
765,Otaku,Animé,Quel pouvoir mystérieux possèdent les guérissoeurs dans l'animé Healer Girl ?,Elle peuvent soigner les gens en chantant
766,Culture G,Jeu de société,"Si deux joueurs de morpion jouent à la perfection, quel sera toujours le résultat de la partie ?",Un match nul
767,Culture G,Jeu de société,"Aux échecs, qu'appelle-t-on un pat ?","Une situation dans laquelle un joueur ne peut plus jouer, mais n'est pas en échec. La partie est déclarée nulle."
768,Otaku,Animé,"Dans Fate/Zero, plutôt que vraiment s'intéresser à la Guerre du Graal, à quelle passion s'adonnent Ryûnosuke Uryû et son servant Caster ?",À l'enlèvement et au meurtre d'enfants
769,Culture G,Sport,"Au football, c'est quoi un ""CSC"" ?",Un but Contre Son Camp
770,Culture G,Sport,"L'équipe de France a gagné le foute en 1998, mais quel fut le score final de la rencontre contre le Brésil ?","Et 1, et 2, et 3-0"
771,JV,Jeu Vidéo,Quel jeu vidéo compétitif sorti en 2015 est un mélange de football et de voitures ?,Rocket League
772,JV,Pokémon,Dans quelle ville de l'univers Pokémon se trouve l'arène de Pierre ?,Argenta
773,JV,Console,Quel est le nom de cette console commercialisée en 2022 par Valve ?,Le SteamDeck
774,Culture G,Politique,Quels présidents américains sont scultés sur le Mont Rushmore ?,"George Washington, Thomas Jefferson, Theodore Roosevelt et Abraham Lincoln"
775,Culture G,Tech,Qu'est-ce qu'AlphaGo ?,Une intelligence artificielle capable de battre les meilleurs joueurs de go du monde.
776,Otaku,Animé,Qu'est-ce qui arrive à Haruhi Suzumiya selon le titre de son film ?,Elle disparaît.
777,Otaku,Animé,Quel est le nom de l'ultime transformation dans la série animé Tengen Toppa Gurren Lagann ?,"Tengen Toppa Gurren Lagann (litt. ""Perçant les cieux, Gurren Lagann"")"
778,Culture G,Littérature,Qui a écrit À la recherche du temps perdu ?,Marcel Proust
779,Culture G,Littérature,Peux-tu me citer au moins un roman écrit par Victor Hugo ?,"Notre-Dame de Paris, Les Misérables, L'Homme qui rit, Le Dernier Jour d'un condamné"
780,Culture G,YouTube,Quelle est la première vidéo de l'histoire de YouTube a avoir atteint le milliard de vues ?,Gangnam Style de PSY
781,Otaku,Animé,Quel Pokémon de la 1ère génération est au cœur de l'épisode tristement célèbre de la série animé qui a causé une crise d'épilepsie à des centaines de japonais ?,Porygon
782,Otaku,Animé,"Historiquement parlant, quel fût le premier film estampillé ""Ghibli"" ?",Le Chateau dans le ciel / Laputa (1986)
783,Otaku,Animé,"Quel film du studio Ghibli est désormait considéré comme étant le premier, bien qu'il fût réalisé avant la création du studio ?",Nausicaä de la Vallée du Vent
784,Otaku,Mobage,De quoi les personnages du jeu mobile Touken Ranbu sont-ils des versions humanisées ?,De sabres
785,Otaku,Pokémon,Quelles sont les 4 attaques maîtrisées par le Pikachu de Sacha dans Pokémon Soleil & Lune et Pokémon : les voyages ?,"Tonnerre, Vive-Attaque, Toile Élek, Queue de Fer"
786,Otaku,Manga,"Selon le titre français du manga, que fait Takagi ?",Elle TAQUINE.
787,JV,Jeu Vidéo,Quelle série de JRPG nous fait traditionnellement incarner une alchimiste qui dézingue la faune et la flore locales pour fabriquer moult potions et objets ?,Atelier
788,Culture G,Cinéma,"Quel film américain de John Hugues, sorti en 1985, qui met en scène 5 lycéens très différents les uns des autres, collés un samedi matin et qui vont apprendre à se connaître, est un véritable pilier des teens movies ?",The Breakfast Club
789,Culture G,Géographie,Quel champ fait face à la Tour Eiffel ?,Le champ de Mars
790,Culture G,Géographie,Quelle place de Paris fait face à la Tour Eiffel ?,Le Trocadero
791,Culture G,,Pour quelle occasion la Tour Eiffel a-t-elle été construite ?,"L'exposition universelle de 1889 (dont le thème était ""Le centenaire de la Révolution française"")"
792,Culture G,,Qui a offert la statue de la Liberté aux États-Unis ?,"La France, eh ouais mon gars."
793,JV,Jeu vidéo,Comment s'appelle le méchant récurrent de la série de jeux Starfox ? Indice : il a le même nom qu'une marque de compotes.,Andross
